year	winner	score	loser	human
1967	26	35-10	5	0
1968	26	33-14	OAK	0
1969	3	16-7	8	0
1970	5	23-7	27	0
1971	8	16-13	16	0
1972	16	24-3	1	0
1973	1	14-7	19	0
1974	1	24-7	27	0
1975	11	16-6	27	0
1976	11	21-17	16	0
1977	Oakland	32-14	27	0
1978	16	27-10	4	0
1979	11	35-31	16	0
1980	11	31-19	21	0
1981	Oakland	27-10	18	0
1982	22	26-21	9	0
1983	19	27-17	1	0
1984	6	38-9	19	0
1985	22	38-16	1	0
1986	24	46-10	2	0
1987	17	39-20	4	0
1988	19	42-10	4	0
1989	22	20-16	9	0
1990	22	55-10	4	0
1991	17	20-19	0	0
1992	19	37-24	0	0
1993	16	52-17	0	0
1994	16	30-13	0	0
1995	22	49-26	S.D	0
1996	16	27-17	11	0
1997	26	35-21	2	0
1998	4	31-24	26	0
1999	4	34-19	28	0
2000	St. Louis	23-16	15	0
2001	8	34-7	17	0
2002	2	20-17	S.L	0
2003	31	48-21	OAK	0
2004	2	32-29	29	0
2005	2	24-21	18	0
2006	11	21-10	23	0
2007	13	29-17	24	0
2008	17	17-14	2	0
2009	11	27-23	20	0
2010	30	31-17	13	0
2011	26	31-25	11	0
2012	17	21-17	2	0
2013	8	34-31	22	0
2014	23	43-8	4	0
2015	2	28-24	23	0
2016	4	24-10	29	0
2017	2	34-28	28	0
2018	18	41-33	2	0
2019	2	13-3	21	0
2020	5	31-20	22	0
2021	31	31-9	5	0
2022	21	23-20	9	0
2023	5	38-35	18	0
2024	5	25-22	22	0
