uid	name	conference	division	colhelmet	colshirt	colpants	coltertiary	tla	offense	defense	wins	losses	ties	roof	rainfall	snowfall	helmet
0	Buffalo	0	0	$ffffff	$003087	$ffffff	$c8102e	BUF	10	7	0	0	0	0	40	89	0
1	Miami	0	0	$ffffff	$008c95	$ffffff	$008c95	MIA	10	5	0	0	0	0	59	0	0
2	New England	0	0	$a2aaad	$0c2340	$a2aaad	$c8102e	N.E	4	6	0	0	0	0	49	52	1
3	New York A	0	0	$115740	$115740	$ffffff	$115740	NYA	2	8	0	0	0	0	47	25	1
4	Denver	0	1	$0c2340	$fc4c02	$ffffff	$0c2340	DEN	6	3	0	0	0	0	17	62	0
5	Kansas City	0	1	$c8102e	$c8102e	$ffffff	$c8102e	K.C	9	7	0	0	0	0	40	15	1
6	Los Angeles A	0	1	$ffffff	$0072ce	$ffffff	$ffb81c	LAA	9	3	0	0	0	2	17	0	1
7	Las Vegas	0	1	$87909a	$010101	$a2aaad	$010101	L.V	3	4	0	0	0	1	5	0	0
8	Baltimore	0	2	$1d252d	$24125f	$ffffff	$24125f	BAL	8	10	0	0	0	0	45	19	0
9	Cincinnati	0	2	$e44c0d	$010101	$ffffff	$dc4405	CIN	5	5	0	0	0	0	42	14	0
10	Cleveland	0	2	$eb3300	$321c00	$eb3300	$ffffff	CLE	3	9	0	0	0	0	40	61	0
11	Pittsburgh	0	2	$1d252d	$010101	$ffb81c	$010101	PIT	6	6	0	0	0	0	38	27	0
12	Houston	0	3	$112734	$091f2c	$ffffff	$091f2c	HOU	7	4	0	0	0	2	51	0	1
13	Indianapolis	0	3	$ffffff	$003a70	$ffffff	$003a70	IND	5	4	0	0	0	1	42	21	0
14	Jacksonville	0	3	$1d252d	$006271	$010101	$010101	JAX	7	9	0	0	0	0	50	0	1
15	Tennessee	0	3	$142b48	$0c2340	$0c2340	$0c2340	TEN	4	3	0	0	0	0	45	2	0
16	Dallas	1	0	$87909a	$ffffff	$aecbd1	$003087	DAL	10	9	0	0	0	1	39	1	0
17	New York N	1	0	$132e85	$001e62	$ffffff	$a6192e	NYN	2	3	0	0	0	0	47	25	0
18	Philadelphia	1	0	$013d41	$004851	$ffffff	$004851	PHI	9	7	0	0	0	0	47	15	1
19	Washington	1	0	$651c32	$651c32	$ffffff	$ffffff	WAS	5	2	0	0	0	0	43	13	0
20	Arizona	1	1	$ffffff	$9b2743	$9b2743	$9b2743	ARI	4	2	0	0	0	1	9	0	1
21	Los Angeles N	1	1	$001ebb	$1e22aa	$ffd100	$1e22aa	LAN	8	3	0	0	0	2	17	0	0
22	San Francisco	1	1	$89734c	$a6192e	$c6aa76	$a6192e	S.F	10	7	0	0	0	0	24	0	0
23	Seattle	1	1	$122340	$0c2340	$0c2340	$78be21	SEA	7	2	0	0	0	0	37	5	1
24	Chicago	1	2	$16141f	$091f2c	$ffffff	$091f2c	CHI	5	3	0	0	0	0	38	35	1
25	Detroit	1	2	$87909a	$0069b1	$a2aaad	$0069b1	DET	8	3	0	0	0	2	39	32	0
26	Green Bay	1	2	$ffb81c	$183029	$ffb81c	$183029	G.B	7	5	0	0	0	0	30	48	0
27	Minnesota	1	2	$553481	$582c83	$ffffff	$582c83	MIN	6	6	0	0	0	2	32	53	1
28	Atlanta	1	3	$1d252d	$010101	$ffffff	$a6192e	ATL	4	6	0	0	0	1	51	1	1
29	Carolina	1	3	$8d9093	$101820	$b2b4b2	$0085ca	CAR	3	2	0	0	0	0	44	2	0
30	New Orleans	1	3	$a28d5b	$010101	$010101	$010101	N.O	6	4	0	0	0	2	63	0	0
31	Tampa Bay	1	3	$433d37	$a6192e	$ffffff	$a6192e	T.B	6	4	0	0	0	0	50	0	1
