	name	tla	home_helmet	home_logo	home_shirt	home_sleeve	home_pants	home_stripe	home_socks1	home_socks2	away_helmet	away_logo	away_shirt	away_sleeve	away_pants	away_stripe	away_socks1	away_socks2	alt_helmet	alt_logo	alt_shirt	alt_sleeve	alt_pants	alt_stripe	alt_socks1	alt_socks2	rush_helmet	rush_logo	rush_shirt	rush_sleeve	rush_pants	rush_stripe	rush_socks1	rush_socks2	roof	rainfall	snowfall	endzone
0	Buffalo	BUF	$ffffff	$003087	$003087	$c8102e	$ffffff	$c8102e	$00176e	$00176e	$ffffff	$003087	$ffffff	$003087	$ffffff	$c8102e	$e6e6e6	$e6e6e6	$ffffff	$003087	$003087	$c8102e	$003087	$c8102e	$00176e	$00176e	$ffffff	$003087	$c8102e	$ffffff	$c8102e	$003087	$af0015	$af0015	0	40	89	$0202d9
1	Miami	MIA	$ffffff	$008c95	$008c95	$008c95	$ffffff	$008c95	$007377	$007377	$ffffff	$008c95	$ffffff	$ffffff	$008c95	$ffffff	$007377	$007377	$ffffff	$007377	$ffffff	$007377	$ffffff	$ff6720	$e6e6e6	$e6e6e6	$ffffff	$007377	$007377	$ffffff	$ffffff	$ff6720	$e6e6e6	$007377	0	59	0	$00b4a4
2	New England	N.E	$a2aaad	$0c2340	$0c2340	$c8102e	$a2aaad	$c8102e	$e6e6e6	$0c2340	$a2aaad	$0c2340	$ffffff	$c8102e	$0c2340	$ffffff	$e6e6e6	$0c2340	$ffffff	$003087	$c8102e	$ffffff	$ffffff	$c8102e	$e6e6e6	$003087	$a2aaad	$0c2340	$0c2340	$c8102e	$0c2340	$ffffff	$e6e6e6	$0c2340	0	49	52	$1d2253
3	New York A	NYA	$115740	$ffffff	$115740	$ffffff	$ffffff	$115740	$e6e6e6	$003e27	$115740	$ffffff	$ffffff	$115740	$010101	$115740	$e6e6e6	$1a1a1a	$115740	$ffffff	$ffffff	$046a38	$ffffff	$046a38	$00511f	$00511f	$010101	$115740	$010101	$115740	$010101	$115740	$1a1a1a	$1a1a1a	0	47	25	$035826
4	Denver	DEN	$0c2340	$ffffff	$fc4c02	$fc4c02	$ffffff	$0c2340	$e6e6e6	$0b203a	$0c2340	$ffffff	$ffffff	$ffffff	$ffffff	$0c2340	$e6e6e6	$0b203a	$e5e8ea	$fa4616	$fc4c02	$ffffff	$fc4c02	$ffffff	$e33300	$e33300	$001489	$ffffff	$fa4616	$ffffff	$ffffff	$fa4616	$e6e6e6	$e12d00	0	17	62	$e66e00
5	Kansas City	K.C	$c8102e	$ffffff	$c8102e	$ffffff	$ffffff	$c8102e	$ffb81c	$b40e29	$c8102e	$ffffff	$ffffff	$c8102e	$c8102e	$ffffff	$ffb81c	$e6e6e6	$c8102e	$ffffff	$ffffff	$c8102e	$ffffff	$c8102e	$ffb81c	$e6e6e6	$c8102e	$ffffff	$c8102e	$ffffff	$c8102e	$ffffff	$ffb81c	$b40e29	0	40	15	$dc0015
6	Los Angeles A	LAA	$ffffff	$ffb81c	$0072ce	$ffb81c	$ffffff	$ffb81c	$0072ce	$0072ce	$ffffff	$ffb81c	$ffffff	$ffb81c	$ffb81c	$ffffff	$e6e6e6	$0072ce	$ffffff	$0c2340	$0c2340	$ffb81c	$0c2340	$ffb81c	$0b203a	$0b203a	$ffffff	$ffb81c	$003087	$ffb81c	$003087	$ffb81c	$002b7a	$002b7a	2	17	0	$3289f7
7	Las Vegas	L.V	$87909a	$010101	$010101	$a2aaad	$a2aaad	$010101	$e6e6e6	$1a1a1a	$87909a	$010101	$ffffff	$010101	$a2aaad	$010101	$e6e6e6	$1a1a1a	$1d252d	$1d252d	$010101	$c5b53b	$ffffff	$c5b53b	$e6e6e6	$1a1a1a	$87909a	$010101	$ffffff	$a2aaad	$ffffff	$a2aaad	$e6e6e6	$e6e6e6	1	5	0	$000000
8	Baltimore	BAL	$1d252d	$24125f	$24125f	$010101	$ffffff	$24125f	$e6e6e6	$1a1a1a	$1d252d	$24125f	$ffffff	$24125f	$010101	$010101	$1a1a1a	$1a1a1a	$1d252d	$24125f	$24125f	$010101	$010101	$010101	$1a1a1a	$1a1a1a	$1d252d	$211747	$211747	$211747	$211747	$8e7831	$08002e	$08002e	0	45	19	$361d7d
9	Cincinnati	CIN	$e44c0d	$010101	$010101	$dc4405	$ffffff	$dc4405	$1a1a1a	$1a1a1a	$e44c0d	$010101	$ffffff	$010101	$010101	$dc4405	$e6e6e6	$e6e6e6	$dbe9f4	$010101	$ffffff	$010101	$ffffff	$010101	$e6e6e6	$e6e6e6	$e44c0d	$010101	$dc4405	$010101	$010101	$dc4405	$c32b00	$c32b00	0	42	14	$e0571e
10	Cleveland	CLE	$eb3300	$eb3300	$321c00	$ffffff	$eb3300	$ffffff	$e6e6e6	$d42e00	$eb3300	$eb3300	$ffffff	$321c00	$321c00	$eb3300	$e6e6e6	$d42e00	$eff2f9	$eff2f9	$ffffff	$321c00	$ffffff	$eb3300	$e6e6e6	$321c00	$eb3300	$eb3300	$321c00	$ffffff	$ffffff	$eb3300	$e6e6e6	$321c00	0	40	61	$4f3531
11	Pittsburgh	PIT	$1d252d	$ffffff	$010101	$ffb81c	$ffb81c	$010101	$e6e6e6	$1a1a1a	$1d252d	$ffffff	$ffffff	$ffb81c	$ffb81c	$010101	$e6e6e6	$1a1a1a	$1d252d	$ffffff	$ffffff	$ffb81c	$ffffff	$010101	$e6e6e6	$1a1a1a	$1d252d	$ffffff	$010101	$ffb81c	$010101	$ffb81c	$1a1a1a	$1a1a1a	0	38	27	$222121
12	Houston	HOU	$112734	$a6192e	$091f2c	$a6192e	$ffffff	$091f2c	$081c28	$081c28	$112734	$a6192e	$ffffff	$091f2c	$091f2c	$ffffff	$081c28	$081c28	$9c0002	$091f2c	$a6192e	$091f2c	$ffffff	$091f2c	$a6192e	$a6192e	$112734	$a6192e	$091f2c	$a6192e	$091f2c	$a6192e	$081c28	$081c28	2	51	0	$17205b
13	Indianapolis	IND	$ffffff	$003a70	$003a70	$ffffff	$ffffff	$003a70	$e6e6e6	$003465	$ffffff	$003a70	$ffffff	$003a70	$ffffff	$003a70	$e6e6e6	$003465	$1d252d	$003a70	$236192	$1d252d	$236192	$ffffff	$0a4879	$0a4879	$ffffff	$003a70	$003a70	$ffffff	$003a70	$ffffff	$003465	$003465	1	42	21	$202e82
14	Jacksonville	JAC	$1d252d	$8e7831	$006271	$010101	$010101	$010101	$005866	$005866	$1d252d	$8e7831	$ffffff	$010101	$010101	$010101	$1a1a1a	$1a1a1a	$1d252d	$8e7831	$010101	$006271	$010101	$010101	$1a1a1a	$1a1a1a	$1d252d	$8e7831	$006271	$010101	$006271	$006271	$005866	$005866	0	50	0	$292929
15	Tennessee	TEN	$142b48	$418fde	$0c2340	$418fde	$0c2340	$0c2340	$0b203a	$0b203a	$142b48	$418fde	$ffffff	$418fde	$0c2340	$0c2340	$e6e6e6	$0b203a	$ffffff	$418fde	$418fde	$c8102e	$ffffff	$c8102e	$e6e6e6	$418fde	$142b48	$418fde	$418fde	$b2b4b2	$0c2340	$0c2340	$0b203a	$0b203a	0	45	2	$181a40
16	Dallas	DAL	$87909a	$0c2340	$ffffff	$003087	$aecbd1	$003087	$e6e6e6	$002b7a	$87909a	$0c2340	$0c2340	$a2aaad	$a2aaad	$0c2340	$e6e6e6	$0b203a	$f5f5f4	$0c2340	$0c2340	$ffffff	$ffffff	$0c2340	$e6e6e6	$0b203a	$f5f5f4	$0c2340	$ffffff	$0c2340	$ffffff	$0c2340	$e6e6e6	$e6e6e6	1	39	1	$ffffff
17	New York N	NYN	$132e85	$ffffff	$001e62	$001e62	$ffffff	$a6192e	$001e62	$001e62	$132e85	$ffffff	$ffffff	$a6192e	$ffffff	$a6192e	$951729	$951729	$102041	$ffffff	$003087	$c8102e	$ffffff	$003087	$e6e6e6	$003087	$132e85	$ffffff	$ffffff	$001e62	$ffffff	$001e62	$e6e6e6	$e6e6e6	0	47	25	$001cc8
18	Philadelphia	PHI	$013d41	$ffffff	$004851	$010101	$ffffff	$004851	$e6e6e6	$e6e6e6	$013d41	$ffffff	$ffffff	$010101	$010101	$004851	$1a1a1a	$1a1a1a	$007653	$8d9093	$046a38	$046a38	$8d9093	$046a38	$e6e6e6	$00511f	$013d41	$ffffff	$ffffff	$010101	$ffffff	$004851	$e6e6e6	$e6e6e6	0	47	15	$264933
19	Washington	WAS	$651c32	$ffb81c	$651c32	$ffb81c	$ffffff	$ffffff	$7f364c	$7f364c	$651c32	$ffb81c	$ffffff	$651c32	$ffffff	$ffffff	$e6e6e6	$e6e6e6	$651c32	$ffb81c	$651c32	$ffb81c	$651c32	$651c32	$7f364c	$7f364c	$1d252d	$ffb81c	$010101	$651c32	$010101	$010101	$1a1a1a	$1a1a1a	0	43	13	$641313
20	Arizona	ARI	$ffffff	$9b2743	$9b2743	$9b2743	$9b2743	$9b2743	$820e2a	$820e2a	$ffffff	$9b2743	$ffffff	$9b2743	$ffffff	$9b2743	$e6e6e6	$e6e6e6	$9e6a37	$9e6a37	$9d2235	$e0c09f	$94795d	$94795d	$9d2235	$e0c09f	$18171a	$9b2743	$010101	$a2aaad	$010101	$9b2743	$1a1a1a	$1a1a1a	1	9	0	$a20000
21	Los Angeles N	LAN	$001ebb	$ffd100	$1e22aa	$ffd100	$ffd100	$1e22aa	$1b1f99	$1b1f99	$001ebb	$ffd100	$ffffff	$1e22aa	$ffd100	$1e22aa	$1b1f99	$1b1f99	$001ebb	$ffd100	$d7d2cb	$ffd100	$d7d2cb	$ffd100	$1b1f99	$1b1f99	$001ebb	$ffd100	$1e22aa	$ffd100	$1e22aa	$ffd100	$1b1f99	$1b1f99	2	17	0	$0042B9
22	San Francisco	S.F	$89734c	$a6192e	$a6192e	$ffffff	$c6aa76	$a6192e	$e6e6e6	$951729	$89734c	$a6192e	$ffffff	$a6192e	$c6aa76	$a6192e	$e6e6e6	$951729	$89734c	$a6192e	$a6192e	$ffffff	$ffffff	$a6192e	$e6e6e6	$951729	$89734c	$a6192e	$ffffff	$a6192e	$ffffff	$a6192e	$e6e6e6	$e6e6e6	0	24	0	$a60303
23	Seattle	SEA	$122340	$7c878e	$0c2340	$78be21	$0c2340	$78be21	$e6e6e6	$0b203a	$122340	$7c878e	$ffffff	$0c2340	$0c2340	$78be21	$e6e6e6	$0b203a	$8d9093	$003087	$003087	$00843d	$a2aaad	$00843d	$003087	$003087	$122340	$7c878e	$78be21	$0c2340	$78be21	$0c2340	$6cab1e	$6cab1e	0	37	5	$283166
24	Chicago	CHI	$16141f	$dc4405	$091f2c	$dc4405	$ffffff	$091f2c	$e6e6e6	$0b203a	$16141f	$dc4405	$ffffff	$dc4405	$091f2c	$dc4405	$e6e6e6	$c63d05	$16141f	$e35205	$ffffff	$0c2340	$0c2340	$0c2340	$0b203a	$e35205	$ff2300	$091f2c	$fb4900	$091f2c	$ffffff	$091f2c	$0b203a	$fb4900	0	38	35	$283166
25	Detroit	DET	$87909a	$0069b1	$0069b1	$a2aaad	$a2aaad	$0069b1	$e6e6e6	$005f9f	$87909a	$0069b1	$ffffff	$0069b1	$0069b1	$a2aaad	$e6e6e6	$e6e6e6	$87909a	$0069b1	$ffffff	$0069b1	$ffffff	$ffffff	$e6e6e6	$e6e6e6	$0365cd	$ffffff	$545859	$0069b1	$545859	$545859	$4c4f50	$4c4f50	2	39	32	$0093E4
26	Green Bay	G.B	$ffb81c	$183029	$183029	$ffb81c	$ffb81c	$183029	$e6e6e6	$162b25	$ffb81c	$183029	$ffffff	$183029	$ffb81c	$183029	$e6e6e6	$162b25	$c6aa76	$c6aa76	$f2a900	$046a38	$046a38	$046a38	$00511f	$d99000	$f2a900	$f2a900	$046a38	$f2a900	$046a38	$f2a900	$00511f	$00511f	0	30	48	$385022
27	Minnesota	MIN	$553481	$ffffff	$582c83	$ffc72c	$ffffff	$582c83	$e6e6e6	$4f2876	$553481	$ffffff	$ffffff	$ffc72c	$582c83	$ffffff	$4f2876	$4f2876	$211747	$ffffff	$221551	$ffffff	$ffffff	$ffcd00	$221551	$221551	$553481	$ffffff	$582c83	$ffc72c	$582c83	$ffc72c	$4f2876	$4f2876	2	32	53	$731995
28	Atlanta	ATL	$1d252d	$a6192e	$010101	$010101	$ffffff	$a6192e	$1a1a1a	$1a1a1a	$1d252d	$a6192e	$ffffff	$ffffff	$010101	$a6192e	$1a1a1a	$1a1a1a	$a6192e	$010101	$010101	$010101	$ffffff	$a6192e	$e6e6e6	$951729	$1d252d	$a6192e	$010101	$010101	$010101	$a6192e	$1a1a1a	$1a1a1a	1	51	1	$c80000
